goId,goName,countDE,countAll,pv
GO:0044428,nuclear part,682,4093,4.60E-15
GO:0005694,chromosome,199,908,2.20E-14
GO:0005829,cytosol,757,4664,3.10E-14
GO:0044427,chromosomal part,177,784,4.20E-14
GO:0005622,intracellular,1754,12506,7.80E-14
GO:0044424,intracellular part,1754,12506,7.80E-14
GO:0000776,kinetochore,50,127,8.60E-14
GO:0098687,chromosomal region,90,313,1.10E-13
GO:0043228,non-membrane-bounded organelle,615,3697,3.60E-13
GO:0031981,nuclear lumen,628,3791,4.10E-13
GO:0005654,nucleoplasm,552,3262,5.20E-13
GO:0031974,membrane-enclosed lumen,777,4866,5.90E-13
GO:0043233,organelle lumen,777,4866,5.90E-13
GO:0070013,intracellular organelle lumen,777,4866,5.90E-13
GO:0043232,intracellular non-membrane-bounded organelle,612,3689,7.50E-13
GO:0000775,"chromosome, centromeric region",60,180,1.70E-12
GO:0005737,cytoplasm,1467,10177,2.30E-12
GO:0005634,nucleus,946,6159,5.60E-12
GO:0043226,organelle,1647,11703,2.10E-11
GO:0044421,extracellular region part,478,2825,4.10E-11
GO:0000793,condensed chromosome,60,194,5.60E-11
GO:0000777,condensed chromosome kinetochore,38,96,6.70E-11
GO:0000779,"condensed chromosome, centromeric region",40,106,1.20E-10
GO:0044444,cytoplasmic part,1277,8769,1.60E-10
GO:0043227,membrane-bounded organelle,1527,10766,2.00E-10
GO:0070062,extracellular exosome,345,1956,3.90E-10
GO:0044446,intracellular organelle part,1217,8335,5.70E-10
GO:1903561,extracellular vesicle,347,1976,5.80E-10
GO:0043230,extracellular organelle,347,1978,6.60E-10
GO:0005615,extracellular space,433,2575,1.20E-09
GO:0044422,organelle part,1247,8601,2.00E-09
GO:0043229,intracellular organelle,1534,10936,1.80E-08
GO:0031012,extracellular matrix,98,451,1.70E-07
GO:0005819,spindle,75,319,2.00E-07
GO:0062023,collagen-containing extracellular matrix,86,385,2.80E-07
GO:0043231,intracellular membrane-bounded organelle,1324,9348,3.20E-07
GO:0005912,adherens junction,102,482,3.70E-07
GO:0015630,microtubule cytoskeleton,195,1074,5.60E-07
GO:0000796,condensin complex,7,7,6.50E-07
GO:0070161,anchoring junction,104,500,6.80E-07
GO:0005856,cytoskeleton,318,1909,8.30E-07
GO:0005576,extracellular region,561,3643,0.0000015
GO:0000940,condensed chromosome outer kinetochore,9,12,0.0000017
GO:0032991,protein-containing complex,628,4144,0.0000025
GO:0005623,cell,1898,14113,0.0000034
GO:0031982,vesicle,535,3493,0.0000059
GO:0009986,cell surface,123,649,0.0000098
GO:0001726,ruffle,42,165,0.000012
GO:0030496,midbody,42,166,0.000014
GO:0044464,cell part,1888,14057,0.000014
GO:0005876,spindle microtubule,19,52,0.000015
GO:0044430,cytoskeletal part,238,1430,0.000026
GO:0030055,cell-substrate junction,80,392,0.000026
GO:0005604,basement membrane,26,87,0.00003
GO:0098589,membrane region,67,317,0.000038
GO:0005925,focal adhesion,78,385,0.000043
GO:0005924,cell-substrate adherens junction,78,387,0.000052
GO:0042555,MCM complex,7,10,0.000054
GO:0045121,membrane raft,64,305,0.00007
GO:0098857,membrane microdomain,64,306,0.000078
GO:0000922,spindle pole,37,150,0.000081
GO:0000228,nuclear chromosome,89,463,0.000097
GO:0005813,centrosome,89,463,0.000097
GO:0048471,perinuclear region of cytoplasm,122,677,0.00011
GO:0031252,cell leading edge,74,376,0.00017
GO:1990752,microtubule end,11,26,0.00022
GO:0005635,nuclear envelope,79,411,0.00024
GO:0005815,microtubule organizing center,118,663,0.00024
GO:0044454,nuclear chromosome part,81,425,0.00026
GO:0012505,endomembrane system,590,4018,0.00026
GO:0000942,condensed nuclear chromosome outer kinetochore,4,4,0.00029
GO:0031262,Ndc80 complex,4,4,0.00029
GO:0005901,caveola,22,78,0.0003
GO:0000152,nuclear ubiquitin ligase complex,13,36,0.00039
GO:0030141,secretory granule,133,775,0.00048
GO:0031390,Ctf18 RFC-like complex,5,7,0.00063
GO:0044853,plasma membrane raft,26,104,0.00071
GO:0005913,cell-cell adherens junction,21,78,0.0008
GO:0030054,cell junction,193,1196,0.00081
GO:0098552,side of membrane,66,345,0.00084
GO:0005911,cell-cell junction,74,397,0.00091
GO:0099503,secretory vesicle,148,889,0.00091
GO:0000785,chromatin,81,443,0.00097
GO:0005652,nuclear lamina,6,11,0.00127
GO:0030175,filopodium,24,97,0.0013
GO:0032153,cell division site,16,55,0.00134
GO:0032155,cell division site part,16,55,0.00134
GO:0002178,palmitoyltransferase complex,5,8,0.00151
GO:0044352,pinosome,5,8,0.00151
GO:0044354,macropinosome,5,8,0.00151
GO:0015629,actin cytoskeleton,77,424,0.00155
GO:0044815,DNA packaging complex,18,66,0.00157
GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,26,110,0.0017
